Louise	Mitchell
Lori	Washington
Julie	Young
Shirley	Bryant
Anna	Russell
Helen	Baker
Rachel	Cooper
Phyllis	Wood
Betty	Peterson
Gloria	Butler
Michelle	Scott
Rose	Perry
Doris	Reed
Sandra	Rivera
Christina	Brown
Karen	Hall
Barbara	Howard
Marie	Lopez
Emily	Thomas
Margaret	Foster
Katherine	Martin
Martha	Adams
Evelyn	Nelson
Mary	Lee
Elizabeth	Henderson
Susan	Martinez
Debra	Lewis
Irene	Robinson
Amy	Coleman
Laura	Simmons
Tammy	Green
Jessica	White
Ruth	Perez
Pamela	Jackson
Angela	Smith
Dorothy	King
Theresa	Walker
Catherine	Edwards
Sara	Stewart
Jane	Cox
Brenda	Diaz
Janet	Morgan
Frances	Harris
Virginia	Phillips
Donna	Anderson
Marilyn	Brooks
Kimberly	Alexander
Kelly	Ward
Amanda	Allen
Carol	Bailey
