Aarão Márquez
Abel Estrella
Abraão Pádua
Abílio Varão
Adelina Sequera
Adelino Perdigón
Adriana Rosa
Adriano Guedella
Adriano Machado
Adélia César
Adélia Lustosa
Adélia Rosa
Adélio Rebimbas
Adérito Padilla
Agostinho Colaço
Agostinho Granjeiro
Agostinho Sobral
Aguinaldo Ataíde
Aida Amarante
Ajuricaba Rosmaninho
Alberta Rebocho
Alberto Barbosa
Alberto Mourão
Alberto Varão
Albino Carneiro
Albino Linhares
Alcides Enríquez
Aldo Abelho
Alexandra Bulhão
Alexandra Quintais
Alexandre Liberato
Alfredo Nogueira
Almeno Caetano
Almerinda Arantes
Almor Monsanto
Aluísio Rolim
Amélia Cintra
Américo Botica
Américo Carromeu
Américo Fraga
Anabela Faria
Anabela Otero
Andreia Mexia
Andreoleto González
Andreoleto Gusmão
Angelina Amorim
Angelino Canhão
Angelino Tabosa
Angélica Raposo
Anna Covelhã
Anna Câmara
Anselmo Casquero
Antero Marmou
Antonieta Vilaça
António Paião
Apoena Colaço
Araci Garcez
Arcidres Quintanilla
Arcidres Silvera
Armindo Souza
Arnaldo Mariz
Aurora Menna
Balduíno Areosa
Beatriz Souto
Belchior Belmonte
Belmifer Cavalheiro
Belmira Pires
Berengário Macena
Bernardete Rua
Bernardina Talhão
Bernardino Simón
Bibiana Fonseca
Bibiana Ruela
Branca Guerreiro
Brites Gaspar
Brites Mansilha
Brás Botica
Bráulio Sequeira
Burtira Covilhã
Bárbara Pasos
Calisto Espartero
Camilo Pontes
Capitolina Lacerda
Capitolino Bezerril
Carla Camello
Carlos Bessa
Carlos Camello
Carlos Setúbal
Carminda Verguero
Cassandra García
Cauã Assumpção
Cauê Bonilla
Caím Barrios
Caím Caires
Caím Cavadas
Celeste Soares
Celestino Alancastro
Cid Lousã
Cidália Alcântara
Cidália Brum
Clarindo Sousa do Prado
Clarisse Boga
Claudemiro Estrela
Cláudia Barboza
Cláudia Orriça
Cláudio Alvarenga
Cláudio Melgaço
Cláudio Silveira dos Açores
Cláudio Sotomayor
Comecus Núñez
Conceição Ayres
Conceição Azevedo
Corina Amarante
Corina Garcia de Gondim
Crispim Temes
Custódio García
Cássio Abrantes
Cássio Negrão
Cândida Cabreira
Cândido Matos
Dalila Pérez
Dalila Vilalobos
Daniel Carromeu
Danilo Castillo
Davide Alancastre
Delfim Marins
Denise Villar
Deolinda Lampreia
Derli Cascaes
Diamantino Carvalho
Dina Batata
Dirceu Becerril
Dirceu Monjardim
Dirceu Viera
Diógenes Sampaio
Diógenes Távora
Dora Fontes
Dorindo Asunción
Dália Souto
Débora Anjos
Délia Freitas
Délio Curvelo
Délio Lóio
Edgar Cisneiros
Elisabete Farias
Eloi Carvajal
Elsa Cerqueira
Elvira Eiró
Emanuel Fialho
Emiliana Lobato
Emiliano Alancastre
Emiliano Gracia
Emídio Castelbranco
Emídio Sampaio
Emília Passarinho
Emílio Cordero
Emílio Dorneles
Epaminondas Castel-Branco
Ermelinda Lemos
Esmeralda Beserril
Estanislau Cardim
Ester Ginjeira
Eudes Godói
Eugénia Castellano
Eurico Filipe
Eusébio Franco
Evandro Correa
Ezequiel Cotrim
Fabíola Oleiro
Fausto Losada
Fausto Terra
Feliciana León
Feliciana Tamoio
Feliciano Pimentel
Felicidade Barroso
Felicidade Iglesias
Felicidade Rios
Ferdinando Bacelar
Ferdinando Cambaúva
Filinto Canedo
Filinto Cisneros
Filomena Zarco
Fiona Macedo
Flora González
Flora Nascimento
Florbela Beiriz
Floripes Silveira
Floripes Torres
Francisco Bethecourt
Francisco Gago
Francisco Resende
Frederico Maranhão
Fulvio Soares
Fábia Portela
Fátima Ataíde
Gabriel França
Gabriel Sá
Garibaldo Granja
Gaspar Caballero
Gastão Arouca
Gaudêncio Vega
Gerardo Areosa
Germano Canejo
Gerusa Belo
Gil Baptista
Gil Porto
Gina Estévez
Giovana Carvalheira
Giovana Franco
Gisela Alcantara
Gláucio Peña
Godofredo Palma
Gomes Barateiro
Gomes Ferrera
Gualdim Beserra
Gualdim Cezar
Guaraci Hipólito
Guida Belo
Guido Custódio
Guiomar Queiroga
Gustavo Araújo
Guterre Noronha
Guterre Quintanilha
Gávio Capistrano
Heitor Durão
Heitor Robalo
Henrique Cabral
Henrique Monte
Hermenegildo Sotomayor
Hernâni Chaves
Honorina Prates
Hugo Mexia
Humberto Vilarinho
Hélder Brião
Hélder Eanes
Hélia Veiga
Iara Hurtado
Iara Tavares
Ibijara Quirino
Ilduara Alencar
Ilma Brum
Ilídio Pimenta
Ingrit Assumpção
Iolanda Aires
Iolanda Olaio
Irani Pacheco
Isadora Veloso
Isilda Filipe
Isilda Nogueira
Itiberê Morales
Ivete Vides
Ivo Lage
Jaci Ornellas
Jacinta Gabeira
Jadir Aveiro
Jadir Torcato
Jandaíra Bensaúde
Jandaíra Magallanes
Joana Vásquez
Joaquim Alencar
Joaquim Durão
Joaquina Rico
Joel Castelo
Jordana Ríos
Jorge Lins
Josias Imperial
Josias Neto
Josias Salguero
Josias Severiano
José Sosa
João Clementino
Julieta Cisneiros
Julieta Ornelas
Justino Branco
Jutaí Murtinho
Jutaí Nascimento
Júlio Chávez
Lara Foquiço
Laura Rosário
Lavínia Carvalheira
Laís Sobreira
Leandro Meneses
Leonardo Peseiro
Leonir Cairu
Leopoldina Duarte
Leopoldo Rebimbas
Leopoldo Rocha
Levindo Leitão
Leónidas Boga
Leônidas   Aldea
Leônidas   Mantas
Lopo Gallindo
Lorena Britto
Luana Batata
Ludovico Viveros
Luísa Baldaia
Luísa Carvalheiro
Luísa Gaspar
Lázaro Barroso
Lénia Pasos
Lígia Barroqueiro
Lúcio Nieto
Mamede Nobre
Marcela Rosa
Marcelo Café
Marcos Saloio
Mariana Parahyba
Marilda Canhão
Marina Porciúncula
Marisa Baía
Marlene Téllez
Marta Ríos
Marta Tibiriçá
Martim Figueiró
Martinho Ourique
Marília Suaçuna
Marília Villanueva
Mateus Damasceno
Mateus Matos
Maura Juruna
Maximiliano Villanueva
Maíra Robalinho
Mbicy Freire
Mbicy Uchoa
Mem Lousã
Mercedes Furquim
Mercedes Salvado
Micael Leão
Miguel Trindade
Miguelina Assis
Miguelina Bogalho
Mileide Borja
Milu Grillo
Milu Sarabia
Minervina Jácome
Miru Moniz
Moaci Vasques
Murici Rico
Márcia Cabrera
Máxima Perdigão
Máxima Quirós
Máximo Sales
Mônica   Álvez
Natacha Zalazar
Nazaré Severiano
Neusa MontAlverne
Neusa Pires
Nicolas Mangueira
Nicolas Tibiriçá
Noémia Paz
Noêmia   Guerrero
Noêmia   Perdigão
Nádia Lousada
Odete Alcântara
Odilia Grande
Odilia Patrício
Ofélia Nolasco
Olavo Cintra
Oliveira Campelo
Olívio Barata
Olívio Queirós
Ordonho Sardina
Orestes Simões
Otávio Vilarinho
Palmira Sarmiento
Palo Cidreira
Palo Fagundes
Parcidio Barroqueiro
Parcidio Junqueira
Patrício Ferreyra
Paulina Holanda
Paulino Gracia
Paulo Rios
Poliana Casqueira
Políbio Paraguaçu
Porfírio Enríquez
Querubim Cisneros
Querubina Vaz
Quintiliana Pino
Quintiliano Tabajara
Quirina Farinha
Quirino Camilo
Quirino Chagas
Quitério Bugalho
Raimundo Chávez
Ramiro Cartaxo
Raquel Viegas
Rebeca Coutinho
Regina Anjos
Regina Bettencourt
Regina Marques
Remo Cavalheiro
Remo Montero
Renan Fiães
Renan Sucupira
Roberto Costa
Rodrigo Hipólito
Ronaldo Moreira
Roque Assunção
Rosana Cerqueira
Rudá Monteiro
Rômulo   Azeredo
Rômulo   Bahía
Rômulo   Cirne
Sabino Feitosa
Sabrina Belo
Sabrina Guilheiro
Salomão Ruela
Salvador Lira
Salvina Quintero
Samuel Águeda
Sancho Carvalhal
Sancho Castillo
Sandoval Cyrne
Sandra Braz
Santiago Raposo
Saul Casalinho
Saul Franca
Saul Sousa de Arronches
Selma Higuera
Selma Rodovalho
Serafim Vilanova
Serafina Barboza
Severino Bethancout
Sidónio Abreu
Sidónio Garrau
Silvana Ramos
Silvano Imbassaí
Silvério Mendoça
Simeão Campelo
Simão Castellano
Simão Ribas
Socorro Marmou
Socorro Sousa do Prado
Sofia Ruela
Solange Guilheiro
Solange Salvado
Sonás Lobo
Soraia Canto
Suniário Peçanha
Susana Gaspar
Sérgio Tavera
Sílvia Sarabia
Sílvio Soares
Sílvio Ulhoa
Sônia ou Sonia   Andrade
Sônia ou Sonia   Ferreira
Tabalipa Nolasco
Talita Rego
Taíssa Brandán
Telma Telinhos
Telmo Almada
Teodorico Regalado
Teodoro Coelho
Tiago Angelim
Timóteo Martinho
Tomé Paranhos
Trajano Natal
Tristão Boga
Tália Correa
Ubiratã Ourique
Ulisses Guterres
Ulisses Velázquez
Ulrico Ginjeira
Umbelina Rangel
Umbelina Zarco
Uriel Torcato
Valentina Cayado
Valéria Cavadas
Valéria Quintanilha
Valério Paula
Veridiana Álvarez
Veridiano Hierro
Veridiano Viveros
Violeta Saraíba
Virgílio Amaro
Virgílio Cirne
Virgínia Higuera
Viriato Toledo
Viridiana Téllez
Vitória Dornelles
Viviana Fragoso
Viviana Jordán
Vlademiro Lucena
Vítor ou Victor Pinto
Ximeno Lameirinhas
Xisto Peseiro
Zacarias Natal
Zoraide Feijó
Zubaida Carrasco
Zuleide Barretto
Zulmira Bulhões
Zélia Bezerra
Zózimo Coutinho
Ângela Escobar
Íris Varella
Ítala Cruz
Ítalo Sesimbra
Úrsula Betancour
Úrsula Mantas
